ip4_prefix,number
104.20.183.0,44
104.17.206.0,43
104.27.25.0,43
65.22.176.0,4
65.22.38.0,4
165.156.18.0,12
107.154.248.0,4
104.24.134.0,43
104.24.17.0,40
104.25.56.0,40
35.190.99.0,26
35.190.120.0,27
104.17.45.0,40
65.22.139.0,24
104.27.218.0,40
104.24.156.0,40
104.20.13.0,42
104.27.37.0,42
104.24.168.0,43
107.154.137.0,6
64.28.119.0,4
207.223.175.0,10
173.194.255.0,10
104.16.254.0,40
104.25.242.0,43
206.222.68.0,4
104.20.228.0,43
172.64.44.0,12
104.25.254.0,40
65.22.27.0,23
163.10.76.0,2
104.31.218.0,40
104.24.217.0,43
103.78.120.0,5
104.31.7.0,40
104.25.13.0,40
104.24.25.0,43
104.24.48.0,43
104.28.32.0,44
104.16.169.0,45
68.68.113.0,3
192.229.238.0,9
104.30.7.0,38
35.190.73.0,26
198.41.222.0,48
104.17.81.0,43
200.131.0.0,2
104.31.77.0,43
66.254.127.0,6
104.24.241.0,42
104.16.109.0,45
104.25.122.0,42
104.16.89.0,42
104.31.133.0,40
35.190.74.0,24
204.93.201.0,8
104.27.137.0,40
205.251.196.0,10
162.159.234.0,42
162.159.214.0,40
104.23.105.0,46
104.17.202.0,43
104.20.212.0,46
204.13.251.0,13
172.64.64.0,34
65.22.35.0,22
72.0.63.0,24
104.20.57.0,42
178.248.235.0,9
46.105.198.0,7
104.25.19.0,39
104.28.203.0,40
104.31.220.0,42
104.25.107.0,44
93.184.219.0,7
104.19.70.0,43
104.19.25.0,42
104.20.10.0,43
104.17.179.0,43
194.146.106.0,24
104.28.109.0,39
96.17.110.0,5
104.28.163.0,40
104.28.168.0,40
72.14.246.0,9
35.190.7.0,27
156.154.205.0,7
104.25.193.0,40
199.101.30.0,5
173.245.58.0,46
107.154.130.0,4
104.16.4.0,43
104.17.61.0,43
104.25.236.0,40
207.223.172.0,9
107.154.2.0,4
178.248.233.0,10
172.64.201.0,40
104.28.76.0,42
35.190.118.0,29
104.23.98.0,46
104.24.150.0,42
192.0.66.0,17
104.31.244.0,40
104.20.124.0,44
156.154.144.0,13
13.107.49.0,14
172.64.70.0,34
104.27.39.0,40
104.27.52.0,42
216.87.145.0,6
104.27.187.0,40
162.159.18.0,46
104.28.40.0,40
203.130.51.0,5
199.254.30.0,6
65.22.236.0,4
130.211.10.0,27
220.243.246.0,10
151.101.177.0,13
35.190.8.0,25
65.22.99.0,22
35.186.229.0,27
70.40.9.0,9
104.29.64.0,39
119.29.29.0,4
104.23.243.0,36
156.154.101.0,8
200.133.210.0,2
23.1.99.0,5
162.249.183.0,9
13.107.52.0,7
117.18.237.0,8
207.171.17.0,3
192.41.162.0,3
178.255.83.0,5
170.178.191.0,5
104.23.103.0,45
104.19.224.0,39
164.73.160.0,2
205.251.197.0,10
104.28.250.0,40
172.64.11.0,16
35.186.238.0,27
172.64.13.0,16
104.16.76.0,40
68.232.34.0,7
163.10.39.0,2
104.19.79.0,42
199.19.54.0,4
104.17.16.0,43
104.25.124.0,40
104.19.32.0,42
167.89.30.0,3
104.17.239.0,42
104.28.62.0,40
156.154.166.0,7
107.154.168.0,4
104.16.77.0,42
104.17.28.0,43
35.190.117.0,28
104.17.24.0,42
104.31.251.0,39
104.16.194.0,44
104.28.1.0,40
172.106.21.0,5
199.7.68.0,13
104.19.206.0,42
13.107.66.0,16
104.24.221.0,44
172.64.196.0,39
104.17.210.0,43
35.190.124.0,24
108.175.111.0,2
35.190.108.0,32
35.190.70.0,25
45.35.169.0,2
192.190.94.0,2
185.106.234.0,2
104.17.86.0,44
172.64.98.0,42
17.253.217.0,14
35.190.24.0,28
65.22.168.0,4
104.25.110.0,40
200.219.154.0,5
65.22.183.0,22
104.24.204.0,44
104.31.178.0,39
65.22.238.0,3
156.154.164.0,7
65.22.61.0,4
104.27.98.0,45
207.223.160.0,10
93.184.215.0,8
45.54.37.0,4
173.194.251.0,10
104.31.84.0,40
104.28.228.0,40
162.88.59.0,7
165.156.19.0,10
104.16.21.0,44
104.17.128.0,43
107.154.184.0,5
172.64.73.0,33
104.17.249.0,45
212.193.151.0,3
104.24.4.0,42
104.20.115.0,45
104.17.251.0,44
194.0.11.0,5
88.208.15.0,9
162.159.13.0,46
